data_set_value_component_environment_variable_t,data_set_value_component_environment_variable_x,data_set_value_component_Crossbridges_attached_variable_n,data_set_value_component_Crossbridges_attached_variable_h,data_set_value_component_f_variable_f,data_set_value_component_f_variable_f_1,data_set_value_component_g_variable_g,data_set_value_component_g_variable_g_1,data_set_value_component_g_variable_g_2,data_set_value_component_Ca_sarcoplasm_variable_Ca_f,data_set_value_component_Ca_sarcoplasm_variable_t_d,data_set_value_component_Ca_sarcoplasm_variable_a_1,data_set_value_component_Ca_sarcoplasm_variable_b_1,data_set_value_component_Ca_sarcoplasm_variable_Ca_0,data_set_value_component_Actin_free_variable_A_c,data_set_value_component_Actin_free_variable_c_1,data_set_value_component_Actin_free_variable_c_2,data_set_value_component_Actin_free_variable_c_2_0,data_set_value_component_Actin_free_variable_k_i,data_set_value_component_Actin_free_variable_q,data_set_value_component_Actin_free_variable_AT_0,data_set_value_component_Series_Elastic_Element_variable_F_SE,data_set_value_component_Series_Elastic_Element_variable_alpha_s,data_set_value_component_Series_Elastic_Element_variable_beta_s,data_set_value_component_Series_Elastic_Element_variable_x_so,data_set_value_component_Series_Elastic_Element_variable_L_max,data_set_value_component_SE_constants_variable_x_s,data_set_value_component_Parallel_Elastic_Element_variable_F_PE,data_set_value_component_Parallel_Elastic_Element_variable_alpha_p,data_set_value_component_Parallel_Elastic_Element_variable_beta_p,data_set_value_component_Parallel_Elastic_Element_variable_x_po,data_set_value_component_PE_constants_variable_x_p,data_set_value_component_Contractile_Element_variable_F_CE,data_set_value_component_s_h_variable_s_h,data_set_value_component_s_h_variable_F_PL,data_set_value_component_X_0_variable_X_S_0,data_set_value_component_X_0_variable_X_M_0,data_set_value_component_X_0_variable_F_PL
0.0,10.0,0.0,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,0.0,0.3,200.0,5.0,4.5e-07,1.0,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.1,10.0,0.282565840837186,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,3.1856741762204165e-07,0.3,200.0,5.0,4.5e-07,0.5461052089277371,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.2,10.0,0.6206698376362377,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,4.2790964516020475e-07,0.3,200.0,5.0,4.5e-07,0.9931048700318079,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.30000000000000004,10.0,0.6727375504713391,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,4.499999931465091e-07,0.3,200.0,5.0,4.5e-07,1.059803547367542,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.4,10.0,0.6564461082563121,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,4.2805324102531583e-07,0.3,200.0,5.0,4.5e-07,1.023397617407594,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.5,10.0,0.5785307139850151,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,3.684288388850918e-07,0.3,200.0,5.0,4.5e-07,0.8907458690897001,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.6000000000000001,10.0,0.44701262456314556,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,2.869326682297979e-07,0.3,200.0,5.0,4.5e-07,0.6764897751796871,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.7000000000000001,10.0,0.28885766615339803,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,2.0219803385274963e-07,0.3,200.0,5.0,4.5e-07,0.42705388205214184,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.8,10.0,0.14919129580587565,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,1.2892715858708554e-07,0.3,200.0,5.0,4.5e-07,0.21442863908532334,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
0.9,10.0,0.06026555369218918,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,7.43844996997139e-08,0.3,200.0,5.0,4.5e-07,0.0840718446316775,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
1.0,10.0,0.01915609985697008,12.0,58.333333333333336,70.0,33.333333333333336,40.0,240.0,3.883211392471674e-08,0.3,200.0,5.0,4.5e-07,0.025965420857533263,200000000000000.0,35.80493720535862,20.0,30.9,1.45,2.0,0.3485319275194722,0.1027,20.0,0.0387,1.0,0.07400846710461093,0.04885431581185641,0.00224,20.0,0.221,0.15635986942984412,0.2996776117076158,0.06464013057015588,3.0,0.07400846710461093,0.970668336534455,3.0
